identity_link_id,anonymous_id,customer_id,session_id,link_timestamp,link_method
identity_00000001,anon_000474821,3cc066496f34fb2db4ab8dc3b4fbec68,sess_000474821,2016-09-04 21:46:59.741083476,successful_login
identity_00000002,anon_000367940,14f75c00cf2b8fa72317a44b34a94e87,sess_000367940,2016-09-04 22:03:30.881236607,successful_login
identity_00000003,anon_000286034,56fecd308580382b61bd71468880a9f1,sess_000286034,2016-09-04 22:07:25.958508199,successful_login
identity_00000004,anon_000216035,b3aa19f75c5aaef3e8d56ec06ec8b4f4,sess_000216035,2016-09-04 22:10:53.427400289,successful_login
identity_00000005,anon_000150880,fc215214c5e93ea60189282e63286806,sess_000150880,2016-09-04 22:14:21.947416526,successful_login
identity_00000006,anon_000077028,a457aae7193e4218a13c99e0130bbcc6,sess_000077028,2016-09-04 22:15:22.819937884,successful_login
identity_00000007,anon_000382281,1dcaf101733dc31789ce23f25d3d2f51,sess_000382281,2016-09-04 22:24:57.263780897,successful_login
identity_00000008,anon_000363982,c3402110088600cb6dc91977d1e53955,sess_000363982,2016-09-04 22:59:21.910721192,successful_login
identity_00000009,anon_000473851,df27b2625974afb5aea8a397df992f86,sess_000473851,2016-09-04 23:32:40.383365983,successful_login
identity_00000010,anon_000123474,34644523e4393cbb0c7f801b9a5f3043,sess_000123474,2016-09-04 23:46:32.930301364,successful_login
identity_00000011,anon_000268729,10ab967a88ce7fb40204d2e291a101ad,sess_000268729,2016-09-04 23:48:19.737518169,successful_login
identity_00000012,anon_000143652,bb69f8f77059a3d1c6bb2242b10b4f56,sess_000143652,2016-09-04 23:52:30.448010121,successful_login
identity_00000013,anon_000487768,8d13b315c8e8e3d9011c9e9267cb8a70,sess_000487768,2016-09-05 00:15:36.007926868,successful_login
identity_00000014,anon_000326760,36249c6af4dcd557e625cd73fb92b525,sess_000326760,2016-09-05 00:26:56.219043622,successful_login
identity_00000015,anon_000250819,0bba96d74b097f702d796d016ea4891b,sess_000250819,2016-09-05 00:36:28.611455240,successful_login
identity_00000016,anon_000042087,29566b1a3f2f8a3de8ff9bb1fc5c5dd2,sess_000042087,2016-09-05 00:36:31.878263399,successful_login
identity_00000017,anon_000432648,f65326b2ac36be7ebdf22698f41654ae,sess_000432648,2016-09-05 01:00:54.557004416,successful_login
identity_00000018,anon_000122786,141c3b99aa115d4e6f5daf17fab78656,sess_000122786,2016-09-05 01:07:19.283080196,successful_login
identity_00000019,anon_000266742,ab9b1caa95d00ce50e2402a1e46068d6,sess_000266742,2016-09-05 01:22:38.131280016,successful_login
identity_00000020,anon_000114072,2ca78d68b23aa3531eb8c29f55194c4e,sess_000114072,2016-09-05 01:39:50.824206956,successful_login
identity_00000021,anon_000333375,7311c29202fefce5535fba58232fb2c0,sess_000333375,2016-09-05 01:52:12.976048505,successful_login
identity_00000022,anon_000017737,8e899fa0db613636d5e7aaf46c221597,sess_000017737,2016-09-05 02:17:53.574599323,successful_login
identity_00000023,anon_000233848,8208410c1bd85a4802e3b0f1926de27f,sess_000233848,2016-09-05 02:31:47.600692888,successful_login
identity_00000024,anon_000294786,30f840412466fa26e5c035e1ad1fdec3,sess_000294786,2016-09-05 02:43:52.441390463,successful_login
identity_00000025,anon_000119074,604117cb8b10acf6a4558e7ac8a17d7b,sess_000119074,2016-09-05 02:50:43.770905707,successful_login
identity_00000026,anon_000362354,d7440fbffd81b24d87b206be574d2604,sess_000362354,2016-09-05 03:09:26.416659383,successful_login
identity_00000027,anon_000146051,4f0083922e333dbcac05a4ff42f6152e,sess_000146051,2016-09-05 03:34:42.293583792,successful_login
identity_00000028,anon_000466673,b2b363be24ab9e279950e7f031ed1d7f,sess_000466673,2016-09-05 03:37:59.044636445,successful_login
identity_00000029,anon_000070696,98a76ec62893cf274af98c74b705dde1,sess_000070696,2016-09-05 03:44:31.020995134,successful_login
identity_00000030,anon_000017433,8d4093a730c51098399f993544697e73,sess_000017433,2016-09-05 03:45:41.723939955,successful_login
identity_00000031,anon_000194318,7e9eaa6e37766b7066e95f9153958dcd,sess_000194318,2016-09-05 03:46:53.044222882,successful_login
identity_00000032,anon_000392193,8fbd29638b8ddd97d012473abf1f7752,sess_000392193,2016-09-05 03:48:11.767481114,successful_login
identity_00000033,anon_000258140,7490dd457ddcb2b010e76183a693d008,sess_000258140,2016-09-05 03:48:45.972524798,successful_login
identity_00000034,anon_000098381,c6792caf2401f9e579fd1191e263f819,sess_000098381,2016-09-05 03:54:07.943545795,successful_login
identity_00000035,anon_000004342,3d5e96edb61b43fa3ffe0d7af362b43b,sess_000004342,2016-09-05 04:21:34.783709323,successful_login
identity_00000036,anon_000086320,7fe3cf500fdf23475a1bf979578ff7c3,sess_000086320,2016-09-05 05:04:25.279297372,successful_login
identity_00000037,anon_000391953,d87f81e4338de8176d2ba14d81164666,sess_000391953,2016-09-05 05:09:49.171209137,successful_login
identity_00000038,anon_000355022,a06524fca9b83c46872086690bd3ba2b,sess_000355022,2016-09-05 05:16:47.355840159,successful_login
identity_00000039,anon_000268875,b4a9a78b5a1cd18b866c9dd6b4055765,sess_000268875,2016-09-05 05:36:47.827731783,successful_login
identity_00000040,anon_000285346,37bf6ca0a677445a3f521046ba630f78,sess_000285346,2016-09-05 06:09:26.167623369,successful_login
identity_00000041,anon_000234828,010ac941a52f7717d87471a7da831cd0,sess_000234828,2016-09-05 06:31:24.740586589,successful_login
identity_00000042,anon_000282553,1d1300e5823331f1065112a2a6aa5b19,sess_000282553,2016-09-05 06:40:21.416198215,successful_login
identity_00000043,anon_000394431,57e1efa13077a20f5043d6f810814fe6,sess_000394431,2016-09-05 06:47:00.573701465,successful_login
identity_00000044,anon_000213338,25a7aac1dd876892549320c943a19160,sess_000213338,2016-09-05 06:59:31.102378511,successful_login
identity_00000045,anon_000476786,9c2f403519bcb363683a7179f0f94bd4,sess_000476786,2016-09-05 07:00:17.996062166,successful_login
identity_00000046,anon_000202091,c52e38620240ce2fe6550e41f64fcdf4,sess_000202091,2016-09-05 07:07:30.074369546,successful_login
identity_00000047,anon_000324581,b7e6aeaa41986f2a6652b734b62dc1e4,sess_000324581,2016-09-05 07:10:08.174889235,successful_login
identity_00000048,anon_000208907,75d859264ad4be4c88057781a915628e,sess_000208907,2016-09-05 07:18:38.325974244,successful_login
identity_00000049,anon_000365805,245246883fc6a78e46848b45f53adc8d,sess_000365805,2016-09-05 07:59:26.763570023,successful_login
identity_00000050,anon_000193171,251157d543994b7844f57ebb1faacc9e,sess_000193171,2016-09-05 08:08:06.382452440,successful_login
identity_00000051,anon_000217702,f4cfdc08099c49123ea4fb6f32bb603b,sess_000217702,2016-09-05 08:22:10.025413500,successful_login
identity_00000052,anon_000332269,1dfc42d29e4c210de654113ab49e6f4f,sess_000332269,2016-09-05 08:41:01.243207598,successful_login
identity_00000053,anon_000007845,2f065d0da18c30fb17bf10fa92005886,sess_000007845,2016-09-05 09:08:49.242408208,successful_login
identity_00000054,anon_000476063,b5a2a4ccc65e614530763703a573764b,sess_000476063,2016-09-05 09:11:56.229251673,successful_login
identity_00000055,anon_000243612,391ae4950689e958f7aa9de8b97f5908,sess_000243612,2016-09-05 09:26:04.189053401,successful_login
identity_00000056,anon_000185657,73681df190083ea166315c4a23598f83,sess_000185657,2016-09-05 10:02:50.929070560,successful_login
identity_00000057,anon_000122204,b125d7ca2bf699633dcec206ec51ce90,sess_000122204,2016-09-05 10:14:23.363227801,successful_login
identity_00000058,anon_000255351,667f26ced69e2ac1b07d7baabf2378c8,sess_000255351,2016-09-05 10:48:09.957349694,successful_login
identity_00000059,anon_000199026,524cc3abf1a67f7416b27a75f29014ce,sess_000199026,2016-09-05 10:49:26.901160739,successful_login
identity_00000060,anon_000376149,dadf22295412a4a5f2b94a9baca6831d,sess_000376149,2016-09-05 10:54:30.388612051,successful_login
identity_00000061,anon_000011819,3c68ab97a9868961c8497b3ce754a992,sess_000011819,2016-09-05 10:55:14.456941534,successful_login
identity_00000062,anon_000496678,5ff12b5d7429e2bfde8594ee4ebf0ab0,sess_000496678,2016-09-05 10:58:08.626716713,successful_login
identity_00000063,anon_000257306,31f2247461c783f2fc3c7f88a675c818,sess_000257306,2016-09-05 11:04:28.332446659,successful_login
identity_00000064,anon_000016756,bed634711aadd752f21d3bd8b2dcd9c1,sess_000016756,2016-09-05 11:14:11.846012429,successful_login
identity_00000065,anon_000021400,a439ca180ebbf3037213e6d501646b3b,sess_000021400,2016-09-05 11:42:18.504120623,successful_login
identity_00000066,anon_000301593,477d719a72a56246c2832dcdd7070a42,sess_000301593,2016-09-05 12:07:19.923296643,successful_login
identity_00000067,anon_000281102,7f89e070ec0556f373339ba76637964d,sess_000281102,2016-09-05 12:09:42.631496429,successful_login
identity_00000068,anon_000176697,5d07a551ce2ce8238665f00d1562ccce,sess_000176697,2016-09-05 12:19:40.150880253,successful_login
identity_00000069,anon_000013193,c767d0e473731b4bc29c1b09bfa50d2a,sess_000013193,2016-09-05 12:46:07.564362504,successful_login
identity_00000070,anon_000014093,896ef8aa8a85480f35a6053ff3cda8c0,sess_000014093,2016-09-05 12:46:27.246790754,successful_login
